round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.21679472923278809,0.6978026969092233,0.485,0.48357660802587127,0.4962270930650377,0.022325432415118418,0.09049434049434057,0.04245786217196501,0.3903614412934243,0.46511627906976744
1,0.21620965003967285,0.6993308067321777,0.5025,0.5024720140507903,0.49553996381539545,0.019506726457399037,0.08985908985908986,0.05132830330184712,0.3928571382452624,0.49682875264270615
2,0.20193696022033691,0.7010831321988787,0.5025,0.5023475939506474,0.4945155738790022,0.021172325432415096,0.0820339570339571,0.047061181475518965,0.38320209506878566,0.5015290519877675
3,0.23984336853027344,0.7027192711830139,0.5175,0.5164088975751538,0.4943894951175999,0.005893657911595129,0.09823284823284822,0.056422988149038955,0.3945205431947457,0.4954128440366973
4,0.22566604614257812,0.7043893848146711,0.51875,0.517355610192572,0.494225592727777,0.014702114029468305,0.082005082005082,0.04113246827136313,0.39999999524924,0.4923547400611621
5,0.22704672813415527,0.7052491392408099,0.52,0.5172847265870523,0.4946290447642642,0.007559256886611132,0.07117694617694614,0.046039658371640424,0.3841807861572345,0.4923547400611621
6,0.21971893310546875,0.7058495368276324,0.52375,0.5197511781694767,0.4952184629738198,0.008392056374119161,0.057345807345807354,0.04249018885246747,0.3804034533777376,0.4923547400611621
7,0.35704636573791504,0.7061605964388166,0.53,0.525489181531938,0.49530041416873116,0.008392056374119161,0.07236082236082236,0.053061013376780375,0.3859649074224548,0.4923547400611621
8,0.2616384029388428,0.7061737775802612,0.5325,0.5280131752471937,0.4956597386387276,0.0128763613068546,0.06274543774543773,0.053061013376780375,0.3859649074224548,0.4984709480122324
9,0.24933719635009766,0.7062976956367493,0.535,0.530765155528646,0.49586146465697123,0.010217809096732866,0.06274543774543773,0.054004952447453014,0.3906705490817602,0.5015290519877675
10,0.27031826972961426,0.7060999700001308,0.53,0.525489181531938,0.4959686316041631,0.014862267777065952,0.07236082236082236,0.042716475615984906,0.39534883235938345,0.48623853211009177
11,0.2328014373779297,0.7057073797498431,0.5325,0.5275361769591773,0.4958299449666207,0.007719410634208834,0.08136983136983139,0.05117313523543521,0.3941176421913495,0.48623853211009177
12,0.2504570484161377,0.705280636038099,0.52875,0.5241093223133715,0.4965548978446836,0.007719410634208834,0.07236082236082236,0.04483064052084751,0.3906705490817602,0.48623853211009177
13,0.24750256538391113,0.7048929929733276,0.5325,0.5275361769591773,0.49644142695942156,0.01934657270980139,0.056133056133056136,0.035656328594242004,0.3965014528715076,0.4892966360856269
14,0.24634408950805664,0.7045647076198033,0.53125,0.5251053078979737,0.49635317182644,0.006886611146700861,0.05552668052668053,0.03916700609681195,0.3857566716780107,0.48623853211009177
15,0.23528003692626953,0.7042930807386126,0.53,0.5237009449975931,0.49604427886100444,0.0113709160794363,0.0429082929082929,0.03093663324087903,0.38461537973985505,0.48623853211009177
16,0.2443068027496338,0.7039141314370292,0.53375,0.5264987726099216,0.495962327666093,0.00871236386931451,0.05792330792330791,0.04056351869451935,0.38554216377413264,0.4831804281345566
17,0.27664923667907715,0.703647792339325,0.53125,0.5239598920341035,0.49620818125082744,0.013196668802049949,0.05492030492030492,0.03539124981412156,0.38438437948795645,0.4801223241590214
18,0.26970744132995605,0.7034213542938232,0.5275,0.5203015247558677,0.49621448518889755,0.029308135810378,0.061532686532686565,0.02810481602886128,0.38805969660414347,0.4709480122324159
19,0.25316452980041504,0.7031657355172294,0.525,0.5177634375852638,0.4963216521360894,0.022165278667520827,0.08376645876645877,0.03844935378965675,0.38438437948795645,0.4648318042813456
