round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,3.3361337184906006,0.702535942196846,0.46497665110073383,0.4232933830696846,0.48609125597893266,0.026676708862171106,3.092295108729884e-09,0.39132288144991373,0.0,0.379978471474704,10,"[0.4384889799106572, 0.4377897169652594, 0.12372130312408282]",0,0.7,0.7228659346675369,5.838354263687506e-05,0.0,0.0018566143698990345,0.664315938949585,2.0,0.47086799144744873,0.37375802993774415,0.1807925035701919,0.0,300,0.09999999403953552,0.0661637932062149,0.1947910487651825,0.023148776963353157,False,False
2,3.8280375003814697,0.7017244696617126,0.48432288192128087,0.46189939931223917,0.5031439780727682,0.012958888652657263,3.092295108729884e-09,0.37940935411331966,0.0,0.40904198062432723,10,"[0.49998728021587546, 0.5000092181362209, 3.5016479034531473e-06]",0,0.7,0.669746537592305,4.817798617295921e-05,0.0,0.0036536611150950193,0.8103348612785339,2.0,0.6112609505653381,0.3834431397914887,0.18222306099009983,0.0,300,0.10000000149011612,0.04166022688150406,0.16025903820991516,0.021846409887075424,False,False
3,4.234217643737793,0.74397541085879,0.447631754503002,0.3642031972920141,0.47777359774995076,0.013184285466438905,0.001057079357901334,0.3740816011482442,0.0,0.33153928955866524,10,"[0.499971343867749, 0.5000285728099859, 8.33222650989777e-08]",0,0.7,0.6403762733373964,3.9099413697840646e-05,0.0,0.005424069240689278,0.6764915585517883,2.0,0.46912333369255066,0.3958915997743607,0.18402035188049107,0.0,300,0.10000000894069672,0.06784503161907196,0.24029044806957245,0.018543224781751633,False,False
4,3.5156495571136475,0.7340679317712784,0.4616410940627085,0.4093541039556464,0.47454183909281455,0.04179541318234814,3.092295108729884e-09,0.34250978488166417,0.0,0.35091496232508074,10,"[0.4999608505985736, 0.5000386710023165, 4.783991100647776e-07]",0,0.7,0.6327914047397195,0.00017307647794950753,0.0,0.007036617957055569,0.7907605767250061,2.0,0.5470889806747437,0.4616162081837655,0.19191458183867133,0.0,300,0.09999999403953552,0.0497550331056118,0.16657869517803192,0.018311262130737305,False,False
5,3.42311954498291,0.7034582197666168,0.5016677785190127,0.4743034980143537,0.4888661973092563,0.03198637271596605,3.092295108729884e-09,0.37306685940320167,0.0,0.4105263157894737,10,"[0.4999913279010738, 0.5000085897691775, 8.23297485907534e-08]",0,0.7,0.6330033542784513,0.0002580083382781595,0.0,0.008801952004432678,0.9090573191642761,2.0,0.5440380573272705,0.48486784639477737,0.19395398324956079,0.0,300,0.09999999403953552,0.06286472827196121,0.1738770604133606,0.006697868928313255,False,False
6,4.105595588684082,0.6994244257609049,0.5123415610406938,0.48249339638547445,0.4972429730746494,0.01601743758965135,3.092295108729884e-09,0.38066378732694217,0.0,0.4192982456140351,10,"[0.49999667481205, 0.4999980162500584, 5.30893789159235e-06]",0,0.7,0.6311378426136937,0.0002630955132190138,0.0,0.010605270974338055,0.835799515247345,2.0,0.509854257106781,0.4635379094706774,0.18907920535378894,0.0,300,0.09999999403953552,0.045346640050411224,0.17201222479343414,0.044685523957014084,False,False
7,4.015124797821045,0.6969514240821203,0.5290193462308206,0.41361476438073197,0.5056322889235234,0.025193084400633392,3.092295108729884e-09,0.3844270869678101,0.0,0.3350877192982456,10,"[0.49996374319285924, 0.5000289467878078, 7.310019332812112e-06]",0,0.7,0.633375821312453,0.00031406094785779715,0.0,0.012427406385540962,0.6918784976005554,2.0,0.4768213629722595,0.4554613440179945,0.18682112403914616,0.0,300,0.10000000149011612,0.06362064927816391,0.20297428965568542,0.01361373532563448,False,False
8,3.6307106018066406,0.7312724341948827,0.45296864576384255,0.3413855775454479,0.4892934558678634,0.044403168491779055,3.092295108729884e-09,0.3530102807565225,0.0,0.32831001076426264,10,"[0.49996083940662006, 0.5000390075858567, 1.5300752316232508e-07]",0,0.7,0.6299896325476408,0.00046107679372653365,0.0,0.014092457480728626,0.8317520022392273,2.0,0.6105429530143738,0.5128063853631127,0.19187623374293733,0.0,300,0.10000000149011612,0.06272442638874054,0.22997881472110748,0.015301551669836044,False,False
9,3.3678245544433594,0.7373737444480261,0.45963975983989325,0.34055567142000576,0.4849590655846366,0.030411448240509897,3.092295108729884e-09,0.3787082206716827,0.0,0.3261571582346609,10,"[0.499970784921253, 0.5000289301412806, 2.8493746649255673e-07]",0,0.7,0.6304133138932407,0.000538134016096592,0.0,0.01588599942624569,0.7115346193313599,2.0,0.4867497384548187,0.5085525884672739,0.1887935145141245,0.0,300,0.10000000894069672,0.045030537992715836,0.15573331713676453,0.018202371895313263,False,False
10,3.479173421859741,0.6975631266832352,0.5163442294863242,0.49171016710623117,0.49779652818831627,0.053353418488979565,3.092295108729884e-09,0.36139661172800813,0.0,0.42280701754385963,10,"[0.499999909930764, 0.4999999413491715, 1.4872006437025636e-07]",0,0.7,0.6278949439381591,0.0007299011340364814,0.0,0.017592983320355415,0.7710875272750854,2.0,0.4927958846092224,0.5167733229200308,0.19048834703192663,0.0,300,0.10000000149011612,0.041550446301698685,0.1568404734134674,0.02376287430524826,False,False
