dataset,algorithm,accuracy_mean,accuracy_std,worst_group_f1_mean,worst_group_f1_std,eo_gap_mean,eo_gap_std,fpr_gap_mean,fpr_gap_std,sp_gap_mean,sp_gap_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std
adult,fedavg,0.5351111111111111,0.0062617790238246,0.0769029403883344,0.06316550979212851,0.004858487617108304,0.0018387107592985799,0.016077573845712644,0.0008869372696710847,0.007965895624605628,0.0020113014072254427,0.3881626861500271,0.029062710085681915,0.507900041748673,0.005719341260768031
adult,fedprox,0.5351111111111111,0.0062617790238246,0.0769029403883344,0.06316550979212851,0.004858487617108304,0.0018387107592985799,0.016077573845712644,0.0008869372696710847,0.007965895624605628,0.0020113014072254427,0.3881626861500271,0.029062710085681915,0.50790033995348,0.005719763646184959
adult,qffl,0.5115555555555557,0.023287786233438367,0.3517974466703327,0.06453908681951033,0.03546517339620787,0.019856877104924245,0.044952681388012644,0.001384039024526329,0.011708758483771167,0.005347982235279249,0.48233691770061055,0.025947352973646115,0.5126605832886026,0.006171146680856952
adult,afl,0.5073333333333333,0.03,0.3554799189518314,0.08235217054772878,0.04254749082335291,0.021782814886263158,0.039154359047892176,0.008379337539432166,0.017461563322406393,0.00181910522184775,0.46663596330825896,0.013898811420481412,0.5149570585077832,0.00652263374485601
adult,fairfed,0.48733333333333334,0.0372658119560106,0.29798446654129895,0.21074002419803847,0.005037108485384338,0.0055573628449054335,0.0021209731383233046,0.002999508977645844,0.004410791510842301,0.005113746547990235,0.34653248442397677,0.024439012760489376,0.5119329635593726,0.00663931534909719
adult,faircare_fl,0.46,0.0,0.4515570899217412,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.31506849315068497,0.0,0.5087150354863721,0.014805247929119206
compas,fedavg,0.514,0.016329931618554536,0.26852817048864214,0.18994058232687805,0.009259259259259266,0.00629908650972048,0.03586225450632232,0.015471874044737372,0.012662588883805765,0.009053044291122764,0.45273515339571624,0.07170582520529317,0.5205372900540186,0.012181485430070391
compas,fedprox,0.514,0.016329931618554536,0.26852817048864214,0.18994058232687805,0.009259259259259266,0.00629908650972048,0.03586225450632232,0.015471874044737372,0.012662588883805765,0.009053044291122764,0.45273515339571624,0.07170582520529317,0.5205372900540186,0.012181485430070391
compas,qffl,0.5153333333333333,0.008379870059984364,0.3795739380347567,0.037225822247303586,0.04545454545454545,0.045594621427443936,0.029109496906107073,0.0029766901234164894,0.028792987568974953,0.030750501976177257,0.5081616053912447,0.005027207719438941,0.5203709962074274,0.013929968885899367
compas,afl,0.525,0.013000000000000012,0.21754385736682055,0.21754385736682055,0.001262626262626243,0.001262626262626243,0.0071025020177562515,0.0071025020177562515,0.005311848726681279,0.005311848726681279,0.4297689734497465,0.07996403196730181,0.5164510210978612,0.009772445646051564
compas,fairfed,0.49,0.03149603149604726,0.45655546569135746,0.009293336328305387,0.030303030303030276,0.013520520542263503,0.03411353241861718,0.022803974637602805,0.023980977877180787,0.0073544403027661735,0.43426409220562534,0.07767213603638738,0.5114930505265077,0.020047161942753362
compas,faircare_fl,0.486,0.03536476589299959,0.39324618409916234,0.13017543078042462,0.019360269360269355,0.022238795982530143,0.017783158461124566,0.025149183877552224,0.014718424010346934,0.01724583255198776,0.35885668496610035,0.06126450486037876,0.49092357456669716,0.03234134310101074
mimic,fedavg,0.5366666666666667,0.0016996731711975963,0.03312692108766355,0.027917619565234537,0.016382930973678305,0.009556370196514112,0.020312090217676368,0.014489410474700487,0.01888162672476398,0.011664959661603648,0.37255699875284937,0.01631394384867569,0.5022182572213918,0.007718620202279815
mimic,fedprox,0.5366666666666667,0.0016996731711975963,0.03312692108766355,0.027917619565234537,0.016382930973678305,0.009556370196514112,0.020312090217676368,0.014489410474700487,0.01888162672476398,0.011664959661603648,0.37255699875284937,0.01631394384867569,0.5022195967486994,0.007718714583774246
mimic,qffl,0.4916666666666667,0.014383632673594292,0.4051004499400838,0.051733200688492346,0.022609085954281682,0.01964441803370423,0.02671125098347758,0.011908425827544455,0.01825223916727185,0.017249965109843373,0.45627086468214245,0.056359835718861884,0.49886675989776724,0.005212363592054208
mimic,afl,0.49300000000000005,0.014966629547095779,0.4013854667720671,0.05349831574581894,0.019005482350678077,0.016040144434183903,0.030461578809336514,0.013597502156830654,0.017657433343707857,0.016269047201922092,0.4571853132678356,0.05689553608436447,0.49885872273392157,0.005188103914658862
mimic,fairfed,0.48833333333333334,0.03231442746239244,0.3088693063576824,0.21856583169833083,0.0012183001506844704,0.0008616114664994657,0.01108051403094675,0.013479956954413518,0.000933706816059717,0.001247820904842723,0.35568427046351725,0.030131031971319982,0.4978252774161054,0.006313636917802303
mimic,faircare_fl,0.466,0.0,0.47435897072830374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31787175989085953,0.0,0.48409378298586,0.0015135819866340526
eicu,fedavg,0.5383333333333332,0.00948317223061752,0.11104144622155537,0.08911505574253974,0.017933723196881083,0.009898747312562465,0.034274659274659273,0.013232641617386276,0.009654000617856042,0.00961974035020395,0.411614472092021,0.042416352989525695,0.5110413475298019,0.0027866163512117416
eicu,fedprox,0.5383333333333332,0.00948317223061752,0.11104144622155537,0.08911505574253974,0.017933723196881083,0.009898747312562465,0.034274659274659273,0.013232641617386276,0.009654000617856042,0.00961974035020395,0.411614472092021,0.042416352989525695,0.5110413475298019,0.0027866163512117416
eicu,qffl,0.5158333333333334,0.014872140247978966,0.3554172005631198,0.05025731075603459,0.04645873944119557,0.03945015971172368,0.029279279279279296,0.008783927430024405,0.03059245529125047,0.012020773424428331,0.5018833957618096,0.005731275055103822,0.5140420220511753,0.005773941569517738
eicu,afl,0.5195833333333333,0.014660510071466015,0.35242675986206295,0.054830742503483375,0.042105263157894736,0.03466727010518012,0.0378840378840379,0.01846080358850739,0.0340850581814437,0.006900449017442896,0.5035234635389996,0.006553388638977748,0.5138907275374928,0.0057069432158934705
eicu,fairfed,0.5025,0.030155845204537034,0.2852109104391231,0.20167551113804677,0.008576998050682235,0.0019362786778104693,0.03896203896203898,0.030172303564028644,0.017102598427899674,0.014656792665833794,0.4212401583336128,0.04965474665559641,0.5129367315762157,0.0060895679210884
eicu,faircare_fl,0.45375000000000004,5.551115123125783e-17,0.44776119053983815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3121238177128117,0.0,0.5038401489410435,0.016269136095764046
