round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,7.3647661209106445,0.7584402561187744,0.4603068712474983,0.3152124257651896,0.50007971910213,0.028818119111865936,0.004938265428998029,0.1539711252501772,0.0,0.317545748116254,10,"[0.499998763311178, 0.5000012098543825, 2.6834439521084364e-08]",0,0.7,0.7210677823813559,6.909059447934851e-05,0.0,0.0006698556244373322,0.7265075445175171,2.0,0.4576292037963867,1.0398976904153823,0.3870319429899318,0.0,300,0.09999999403953552,0.05902426317334175,0.179807648062706,0.027185164391994476,False,False
2,6.832251787185669,0.8955423583587011,0.4603068712474983,0.3152124257651896,0.47042063022876696,0.027232691148114496,0.030885476986320416,0.14019459230497344,0.0,0.317545748116254,10,"[0.49995555487347776, 0.5000440238661529, 4.212603699935079e-07]",0,0.7,0.6743243024481832,0.0001302540476899594,7.942738739075139e-05,0.0012708285357803106,0.7829252481460571,2.0,0.4626918435096741,1.0516944471001624,0.39053036915404726,0.0,300,0.10000000149011612,0.05631423741579056,0.16627655923366547,0.029456714168190956,False,False
3,6.880182504653931,1.0611701955397923,0.4603068712474983,0.3152124257651896,0.4929453073216173,0.042576470173765424,0.011643248890330637,0.11354883306732749,0.0,0.317545748116254,10,"[0.4999800097533655, 0.5000199373775807, 5.286905370369981e-08]",0,0.7,0.6354454250068811,0.00026813638396561146,6.264363037189469e-05,0.0017385727260261774,0.9046724438667297,2.0,0.5114309787750244,1.0941369744390248,0.4036957818408922,0.0,300,0.10000000149011612,0.06627747416496277,0.18878869712352753,0.022330163046717644,False,False
4,6.807618856430054,1.3155328333377838,0.4603068712474983,0.3152124257651896,0.48978431056412464,0.047484945559587044,0.024031499360561426,0.11043926479264449,0.0,0.317545748116254,10,"[0.4999797462186354, 0.5000202279472945, 2.5834070002241984e-08]",1,0.7,0.6230346109671314,0.00043056110735051334,0.00010780112643260509,0.002190768951550126,0.7326928377151489,2.0,0.4958098828792572,1.1720686898902057,0.4230124306367961,0.0,300,0.10000000149011612,0.06609918922185898,0.19070576131343842,0.02574979141354561,False,False
5,7.061798334121704,1.339166929324468,0.4603068712474983,0.3152124257651896,0.4852250944984862,0.043347014536519235,0.03143890673138905,0.10512953028406907,0.0,0.317545748116254,10,"[0.49998371999231006, 0.5000162610035077, 1.9004182155775875e-08]",1,0.7,0.6287333678237196,0.0005722962087020278,0.00018999565509147942,0.0026164166629314423,0.7933142781257629,2.0,0.5033091306686401,1.3496779755413533,0.45503564450731676,0.0,300,0.09999997913837433,0.059520598500967026,0.17823579907417297,0.027968179434537888,False,False
6,7.2765538692474365,1.1300541460514069,0.4603068712474983,0.3152124257651896,0.4972107271456978,0.045084633994837975,0.03143890673138905,0.10670806224809554,0.0,0.317545748116254,10,"[0.4999869802959807, 0.5000129961287278, 2.3575291302131747e-08]",1,0.7,0.6271166760916115,0.0007227193564176559,0.000272190198302269,0.003049957100301981,0.8028049468994141,2.0,0.5355804562568665,1.4271377864697576,0.47625893664817065,0.0,300,0.10000000894069672,0.06154809147119522,0.18223467469215393,0.023185404017567635,False,False
7,6.909881114959717,1.0132659375667572,0.4603068712474983,0.3152124257651896,0.4866806399025457,0.034909374105898894,0.026287777556580127,0.11900245146136512,0.0,0.317545748116254,10,"[0.49998479104439, 0.5000151796490522, 2.9306557871641627e-08]",0,0.7,0.6251137848683213,0.0008222662145271897,0.0003286290739197284,0.0035449694842100143,0.6544252038002014,2.0,0.4729791283607483,1.4464040831672254,0.4814299637902911,0.0,300,0.09999999403953552,0.0571066290140152,0.18425795435905457,0.03223853185772896,False,False
8,6.81661319732666,0.9697647343079249,0.4603068712474983,0.3152124257651896,0.475647157879651,0.03909164436721063,0.02607491996232296,0.1403615255544443,0.0,0.317545748116254,10,"[0.4999808050493222, 0.5000191545781693, 4.0372508673385795e-08]",0,0.7,0.6262728293842189,0.0009427244076505303,0.000384003680665046,0.004146777093410492,0.8625478744506836,2.0,0.554377555847168,1.443041694755593,0.4834917997340861,0.0,300,0.10000000894069672,0.05638318881392479,0.1680578589439392,0.027402812615036964,False,False
9,6.979206085205078,1.1934903959433238,0.4603068712474983,0.3152124257651896,0.4770785188369968,0.041796338921094134,0.0038952693686915563,0.1435905314252282,0.0,0.317545748116254,10,"[0.49998120792107303, 0.5000187440650586, 4.801386880194091e-08]",0,0.7,0.6258469088000471,0.0010767061030492187,0.00032848003320395947,0.004764729645103216,0.7469800114631653,2.0,0.47256600856781006,1.4380062275784364,0.48400004536771446,0.0,300,0.10000000149011612,0.06873983889818192,0.19003961980342865,0.029250366613268852,False,False
10,7.077763795852661,1.0552211453517277,0.4603068712474983,0.3152124257651896,0.48116389889109834,0.045084633994837975,0.03143890673138905,0.10670806224809554,0.0,0.317545748116254,10,"[0.4999820176987368, 0.5000179544905817, 2.7810681353430044e-08]",0,0.7,0.6240797272064603,0.0012271292507648468,0.000410674576414749,0.005198270082473755,0.7815002799034119,2.0,0.5179873704910278,1.4621841901532249,0.492722150961385,0.0,300,0.10000000149011612,0.060816701501607895,0.18007928133010864,0.025973821058869362,False,False
11,6.523043155670166,0.927182008822759,0.4603068712474983,0.3152124257651896,0.4823328138155892,0.04625782671313172,0.008109837431876321,0.12507700566259256,0.0,0.317545748116254,10,"[0.4999802362734419, 0.5000197374785555, 2.6248002591664526e-08]",1,0.7,0.6236695227672516,0.0013834183337166905,0.00037622376112267375,0.0057236552238464355,0.7119699716567993,2.0,0.4663499891757965,1.4836753735534642,0.49845708701509694,0.0,300,0.10000000894069672,0.04318251088261604,0.15626612305641174,0.02970467507839203,False,False
12,6.798096418380737,1.04603873193264,0.4603068712474983,0.3152124257651896,0.4831873309328031,0.037604481769864806,0.01619837680121948,0.13923769461081315,0.0,0.317545748116254,10,"[0.49992993801422936, 0.5000700111014819, 5.08842890018989e-08]",0,0.7,0.628266131864634,0.0014964407309889793,0.0003822156577371061,0.006319843698292971,0.7614187598228455,2.0,0.529246985912323,1.4524263482623363,0.4943915317715784,0.0,300,0.09999999403953552,0.059839364141225815,0.19507305324077606,0.031873468309640884,False,False
13,5.393601655960083,0.9400055607159933,0.4603068712474983,0.3152124257651896,0.49437577255871445,0.052742143172786915,0.0006598585421972725,0.1196478335579162,0.0,0.317545748116254,10,"[0.4999857122945545, 0.5000142580966016, 2.960884405570258e-08]",0,0.7,0.6243510010661055,0.0016851514810696244,0.0003105149371549487,0.006818083114922047,0.7637530565261841,2.0,0.4879608154296875,1.465019386574602,0.5002207919340148,0.0,300,0.09999999403953552,0.043042466044425964,0.15835866332054138,0.029351649805903435,False,False
14,4.863406419754028,1.1236194918553035,0.4603068712474983,0.3152124257651896,0.4936959208899876,0.04609604832864683,0.022562788111740617,0.12911972380475095,0.0,0.317545748116254,10,"[0.4999832581107951, 0.5000167046079792, 3.7281225819908984e-08]",0,0.7,0.6260473682652579,0.0018406317103654146,0.0003483288746792823,0.007363681681454182,0.6505759954452515,2.0,0.4741402268409729,1.4708187245562456,0.5011507120104705,0.0,300,0.09999998658895493,0.06272400170564651,0.24809549748897552,0.036991916596889496,False,False
