round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.43871355056762695,0.6975691119829813,0.5176784523015343,0.48380387179126905,0.49983339603375077,0.010641493241793587,0.04766110860748085,0.013043642475402684,0.29129662022317643,0.43157894736842106
1,0.41050267219543457,0.7012582818667094,0.5270180120080054,0.4734792919752472,0.501538847387184,0.004119287706500746,0.04998648039657505,0.013768813853794887,0.26138613374516234,0.4105263157894737
2,0.4332849979400635,0.7013577024141947,0.5383589059372915,0.46316889891734114,0.5031762240017198,0.015318601158549688,0.036746282109058115,0.0019734481521349045,0.22321428120665268,0.39649122807017545
3,0.4206573963165283,0.7002168446779251,0.5376917945296864,0.4515752323583214,0.5023826158614142,0.007809482943574336,0.03338440739071655,0.002135856325420654,0.2051282008228602,0.3824561403508772
4,0.5256192684173584,0.6995497842629751,0.5323549032688459,0.4312556391425093,0.5023342469679869,0.0028749195451619747,0.03889139251915277,0.01218627839782449,0.17114914022513025,0.3649122807017544
5,0.5637023448944092,0.6984007358551025,0.5310206804536357,0.4199277247043346,0.5028573475931997,0.006350568547521987,0.02883280757097792,0.01466017033973524,0.15696202152706307,0.3508771929824561
6,0.5674974918365479,0.6983997573455175,0.5283522348232155,0.4024814267922152,0.5020082047974777,0.004548380175927916,0.03591707976566021,0.019845901082091666,0.12201591170894055,0.34035087719298246
7,0.49643778800964355,0.6974341670672098,0.5310206804536357,0.3983064831547603,0.5030203686784543,0.00789530143745977,0.020144209103199646,0.01394632976413046,0.11506849004436112,0.3333333333333333
8,0.5372605323791504,0.6963954468568166,0.5316877918612408,0.40438839180598074,0.503260421705093,0.004548380175927916,0.0353222172149617,0.017294581987800497,0.12332439346850772,0.34210526315789475
9,0.5256209373474121,0.6963090151548386,0.5350233488992662,0.3995581753931049,0.5028161444617617,0.004505470928985192,0.023686345200540783,0.010996544105149844,0.11142060987732878,0.3368421052631579
10,0.5415627956390381,0.6954857806364695,0.5310206804536357,0.40493737368717964,0.5020099962379749,0.002016734606307663,0.038476791347453805,0.017693048552489946,0.12266666330368008,0.34385964912280703
11,0.5462961196899414,0.6958349744478861,0.5330220146764509,0.38627090410548676,0.5041830135612045,0.0006436387041407407,0.02407390716538981,0.011038090382036903,0.08092485297320333,0.3298245614035088
12,0.5189521312713623,0.6950710068146387,0.5350233488992662,0.3965828018506743,0.5024381505168306,0.012100407637845957,0.02624605678233439,0.015861235435197248,0.10377358362640175,0.3333333333333333
13,0.5147383213043213,0.6956473290920258,0.5350233488992662,0.37975519159679927,0.503324913562996,0.0006865479510834577,0.008301036502929245,0.00406209279927483,0.06606606404025654,0.32280701754385965
14,0.5519983768463135,0.694946418205897,0.5316877918612408,0.38971461579147604,0.5012110137761774,0.0010727311735679035,0.02624605678233439,0.013309916340906086,0.09065155532232833,0.33157894736842103
15,0.5536253452301025,0.6950603773196539,0.5350233488992662,0.37414497774950417,0.5035649665896347,0.005792748337266684,0.007706173952230739,0.0017902668404056396,0.049079752877225394,0.32105263157894737
16,0.5073165893554688,0.6954143941402435,0.5350233488992662,0.3659887434197552,0.50308306909586,0.005835657584209397,0.003956737269040108,0.0008743602817592941,0.03154574003124726,0.3157894736842105
17,0.508847713470459,0.6948492030302683,0.5356904603068713,0.37217531123328296,0.503855179950198,0.006650933276121002,0.0029743127534925633,0.0007610522538855219,0.0434782593304657,0.3192982456140351
18,0.500586748123169,0.6948809921741486,0.533689126084056,0.367719320265729,0.5049604987370344,0.004977472645355075,0.010265885534024338,0.004502105640851319,0.0372670792066279,0.3175438596491228
19,0.598984956741333,0.6949578871329626,0.5363575717144763,0.36177401223393346,0.5065387578151592,0.0016305513838232137,0.00907616043262731,0.0042641587823163945,0.025641024609015493,0.3140350877192982
