round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.25408363342285156,0.6995918527245522,0.48348348348348347,0.4498522932959941,0.494168579598083,0.025422138836772912,0.08113347632403889,0.01684539462450052,0.4540229843369749,0.3900481540930979
1,0.2643446922302246,0.7035555317997932,0.47147147147147145,0.4340137689494738,0.4910837259876767,0.02157598499061908,0.07441016333938288,0.024367337181107285,0.44886363222289033,0.37720706260032105
2,0.2578449249267578,0.7102776169776917,0.47147147147147145,0.4246446242048222,0.48841770367685555,0.020544090056285103,0.030811747236429654,0.026664048359004155,0.46814404024205625,0.38362760834670945
3,0.30134010314941406,0.7196494340896606,0.4574574574574575,0.3887190440924116,0.48748338770085775,0.012382739212007499,0.0027635703679261825,0.017361941190533137,0.4687083848332893,0.3595505617977528
4,0.28972864151000977,0.7315182611346245,0.4644644644644645,0.3771711580480699,0.48688735854375575,0.019887429643527188,0.052590331628444176,0.005331955875823913,0.48571428179460285,0.36436597110754415
5,0.2998850345611572,0.7420736253261566,0.4594594594594595,0.3556378404204491,0.48698401192058316,0.004971857410881797,0.047351922125061785,0.013169802943888587,0.4815286585491339,0.3467094703049759
6,0.26279520988464355,0.7520618438720703,0.45845845845845845,0.3421879963631982,0.4870444202811001,0.004690431519699834,0.023428477148985327,0.003995765171954546,0.4831038760228759,0.33707865168539325
7,0.28536438941955566,0.7611007243394852,0.46046046046046046,0.3363615187514559,0.4866014256373082,0.005440900562851847,0.011466754660947043,0.00179297155151803,0.4857496864086701,0.33386837881219905
8,0.297745943069458,0.7670087590813637,0.46146146146146144,0.33111559139784946,0.4867222423583424,0.015947467166979368,0.01291041082329647,0.0086702981455552,0.4858199715495173,0.3306581059390048
9,0.2863297462463379,0.7728803157806396,0.46346346346346345,0.33064991949758493,0.4863839555394467,0.018761726078799335,0.010518066325688857,0.01077917420853114,0.48708486706529347,0.3306581059390048
10,0.3077840805053711,0.7778824791312218,0.4644644644644645,0.3281403794589824,0.4865893439652048,0.012851782363977549,0.005733377330473521,0.007018202930227813,0.4895960794601859,0.3306581059390048
11,0.3226747512817383,0.7803786396980286,0.4644644644644645,0.32661330457340776,0.48654907172486006,0.01669793621013138,0.003341032832865909,0.008072640961715782,0.48899755124416405,0.3290529695024077
12,0.41842198371887207,0.7819933071732521,0.46146146146146144,0.3205078283032608,0.48656920784503244,0.01669793621013138,0.0071770334928229484,0.007521942556606653,0.4878048742868828,0.3258426966292135
13,0.26009535789489746,0.783167377114296,0.4624624624624625,0.3209887794042262,0.48658531674117034,0.011819887429643572,0.0071770334928229484,0.0059168061200095545,0.48964676847010796,0.3274478330658106
14,0.29441165924072266,0.7848753407597542,0.46346346346346345,0.32146912128461946,0.4868591679755145,0.015666041275797404,0.0071770334928229484,0.008576380588094734,0.48964676847010796,0.3274478330658106
15,0.2896389961242676,0.7847646623849869,0.46346346346346345,0.31989026063100134,0.487076638073376,0.019512195121951237,0.004784688995215336,0.009630818619582704,0.4890510911347021,0.3258426966292135
16,0.290027379989624,0.7848901599645615,0.46346346346346345,0.31989026063100134,0.4870685836253071,0.019512195121951237,0.004784688995215336,0.009630818619582704,0.4890510911347021,0.3258426966292135
17,0.2970559597015381,0.7850103080272675,0.4644644644644645,0.3203658184564872,0.4871048286416173,0.014634146341463428,0.004784688995215336,0.008025682182985605,0.4908869950321336,0.3274478330658106
18,0.3465096950531006,0.7847564369440079,0.4644644644644645,0.3203658184564872,0.48677862349482504,0.014634146341463428,0.004784688995215336,0.008025682182985605,0.4908869950321336,0.3274478330658106
19,0.2855839729309082,0.7859636843204498,0.46546546546546547,0.32084075979019205,0.48685514075148,0.009756097560975618,0.004784688995215336,0.006420545746388395,0.492718442852148,0.3290529695024077
