round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.14262914657592773,0.6944941729307175,0.496,0.4941790445604175,0.49173626868794157,0.0030959752321981227,0.044245269597382286,0.02428649156650342,0.37815125567579977,0.4948805460750853
1,0.1423482894897461,0.6963215470314026,0.49,0.4899816393390162,0.48803488952187835,0.022136222910216774,0.06259780907668233,0.042241677795914256,0.39843749530120853,0.47440273037542663
2,0.12627959251403809,0.6978754550218582,0.476,0.47569800204918034,0.4891935821303851,0.02848297213622286,0.07988334044672074,0.0604606684143707,0.39700374070445654,0.45051194539249145
3,0.1272261142730713,0.6993131786584854,0.478,0.47724514198502643,0.489676370717263,0.01695046439628478,0.03762981931996012,0.03488813045127037,0.4029850700203275,0.4539249146757679
4,0.14244627952575684,0.7009516209363937,0.484,0.48260095297684935,0.49052929722074706,0.015944272445820418,0.04773082942097029,0.034047253961187796,0.4117647013064987,0.4539249146757679
5,0.15117883682250977,0.7026118785142899,0.486,0.484016559655315,0.4914626884887108,0.00611455108359138,0.057831839521980344,0.026380438904552217,0.4087591195276787,0.447098976109215
6,0.13355112075805664,0.703986719250679,0.486,0.4837512203156952,0.4915431532531904,0.004411764705882337,0.06288234457248543,0.03320637747110511,0.4130434737163936,0.447098976109215
7,0.15142178535461426,0.7054044157266617,0.484,0.4813111168296449,0.49131785191264743,0.014938080495356054,0.07298335467349548,0.0434452853209345,0.41577060479798567,0.44368600682593856
8,0.12942123413085938,0.7064176946878433,0.486,0.48346899809064414,0.4920259418400682,0.014938080495356054,0.048797837530231924,0.031788428879985564,0.4187725586398885,0.45051194539249145
9,0.14260578155517578,0.7073123306035995,0.486,0.48346899809064414,0.4919615700284845,0.014938080495356054,0.02966282543747334,0.023544541722312906,0.42028985052746276,0.4539249146757679
10,0.14233636856079102,0.7079188674688339,0.484,0.4813111168296449,0.4922190572748193,0.014938080495356054,0.03471333048797842,0.026957511005589407,0.4187725586398885,0.45051194539249145
11,0.1324169635772705,0.707792267203331,0.488,0.485894222736328,0.49302370491961567,0.004411764705882337,0.03869682742922176,0.02154952103015617,0.4160583896001385,0.4539249146757679
12,0.13235831260681152,0.7078797668218613,0.492,0.4899106741212005,0.4934260287420139,0.014938080495356054,0.014511310285958201,0.013305633872483624,0.4249084203394652,0.4641638225255973
13,0.15880489349365234,0.7079305797815323,0.494,0.4920474303221584,0.4939249102817876,0.014938080495356054,0.028595817328211703,0.01813655174687978,0.4249084203394652,0.4641638225255973
14,0.1432175636291504,0.7078067064285278,0.494,0.492520188870747,0.4935547723651813,0.02964396284829718,0.03762981931996012,0.02921633608679164,0.4264705836583586,0.46757679180887374
15,0.16211342811584473,0.7075527310371399,0.496,0.49463348895413195,0.4939088173288917,0.0117647058823529,0.051714326362213625,0.02580336680351525,0.4206642020577062,0.4641638225255973
16,0.15495586395263672,0.7070994675159454,0.504,0.5030378813382709,0.4940053750462672,0.0117647058823529,0.0506473182529521,0.020395376828082012,0.4253731297201493,0.47440273037542663
17,0.15846681594848633,0.707251563668251,0.504,0.5026551796056536,0.494278955245498,0.002941176470588225,0.04161331626120357,0.009315592488169933,0.42379181696107027,0.4709897610921502
18,0.16276860237121582,0.7071242779493332,0.506,0.5047619047619047,0.4940053750462672,0.002941176470588225,0.03656281121069849,0.005902623204893542,0.4253731297201493,0.47440273037542663
19,0.15541744232177734,0.707209050655365,0.5,0.49864433427989285,0.4940053750462673,0.013467492260061942,0.027528809218950068,0.0010717053304974966,0.417910443153542,0.46757679180887374
