round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.14706206321716309,0.708465039730072,0.462,0.3313746837079126,0.4968377347559504,0.0010061919504644745,0.013017498932991867,0.007089742955598388,0.4856396829283723,0.32764505119453924
1,0.12256598472595215,0.7051983177661896,0.464,0.3821354137848356,0.494488163633145,0.0023219814241486336,0.007682458386683688,0.005886135430578254,0.47222221831095684,0.3515358361774744
2,0.1311643123626709,0.7030719220638275,0.474,0.43263941322403193,0.4925731022385298,0.04481424148606816,0.08685446009389675,0.059817645216072246,0.466076692103619,0.3822525597269625
3,0.1389296054840088,0.7017456442117691,0.466,0.45010812480692,0.49263747405011343,0.028792569659442657,0.08550291648883201,0.06229081136337411,0.43225806023746105,0.3993174061433447
4,0.12612056732177734,0.7012091279029846,0.484,0.480333231279911,0.4914948743945026,0.06439628482972137,0.1072698819177692,0.08041087533593838,0.43205574466996083,0.44368600682593856
5,0.15052390098571777,0.7009420096874237,0.496,0.4957095286885246,0.4914626884887108,0.09899380804953561,0.07376582728695402,0.0769484427297159,0.43866170543580113,0.48464163822525597
6,0.1345057487487793,0.7007434219121933,0.504,0.5033563498293788,0.4905775760794348,0.06942724458204336,0.045312277706643866,0.048754348650475676,0.4193548339493367,0.4975845410628019
7,0.15853190422058105,0.7009993642568588,0.502,0.5000783009890017,0.49106036466631253,0.06726006191950468,0.01500924740361359,0.037361296598572125,0.41004183618003887,0.4782608695652174
8,0.1345682144165039,0.7011857479810715,0.496,0.4920665634674922,0.48909702441300956,0.036687306501548,0.028026746336605513,0.03421213170434123,0.3809523760769101,0.47342995169082125
9,0.13226056098937988,0.7014779597520828,0.498,0.49352478500026237,0.487664751605272,0.06191950464396284,0.017925736235595402,0.0404609981698571,0.39130434294328925,0.463768115942029
10,0.13596463203430176,0.7018811255693436,0.492,0.4880353457172342,0.485476110011426,0.06191950464396284,0.013942239294351955,0.04245601886201383,0.38793102961318376,0.45893719806763283
11,0.14957237243652344,0.7020273953676224,0.486,0.48141780774927256,0.4842369526384397,0.08397832817337458,0.013942239294351955,0.05694877248520225,0.38793102961318376,0.4444444444444444
12,0.15905046463012695,0.7019388377666473,0.486,0.4805961220538483,0.4835449556639147,0.09868421052631576,0.003841229193341844,0.059784669667441614,0.39130434294328925,0.43478260869565216
13,0.19579029083251953,0.7022871524095535,0.488,0.4836294395765761,0.48264375030174295,0.11238390092879258,0.033077251387110596,0.07684951608382384,0.39999999514929835,0.4444444444444444
14,0.16184616088867188,0.7019259482622147,0.488,0.4819575528969905,0.48224142647934465,0.10603715170278633,0.012875231185090374,0.06603353613295737,0.3930130955473771,0.43478260869565216
15,0.14348936080932617,0.7019737958908081,0.482,0.4765540685289754,0.4816459872221954,0.0881578947368421,0.028026746336605513,0.06802855682511422,0.3809523760769101,0.4396135265700483
16,0.15815091133117676,0.7018234431743622,0.478,0.4716064378985727,0.4816138013164036,0.11021671826625384,0.042111253378859015,0.08735222832269873,0.3809523760769101,0.42995169082125606
17,0.14076757431030273,0.7018295973539352,0.482,0.4746855211971491,0.4807286889071275,0.11756965944272446,0.026959738227343877,0.0819442383472655,0.38596490738573414,0.4251207729468599
18,0.140488862991333,0.7016734033823013,0.48,0.4718796210533158,0.48071259595423166,0.09651702786377708,0.021909233176838794,0.07170533049743616,0.3733333284211358,0.4251207729468599
19,0.16154217720031738,0.7015246748924255,0.48,0.4718796210533158,0.4801493426028742,0.0786377708978328,0.021909233176838794,0.06346144333976356,0.36607142365393824,0.42995169082125606
